,starname,distance,mass,radius
113,2MASS J11544223-3400390 [de],129,0.0035319756,0.1541445
114,2MASSW J1155395-372735 [de],31,0.0061093632,0.102763
117,2MASS J12074836-3900043,217,0.0016227995999999998,0.17572473
118,2MASSI J1217110-031113 [de],36,0.0040092695999999995,0.09659721999999998
121,2M 1237+6526,45.6,0.0039138108,0.09659721999999998
123,TWA 29,262,0.00238647,0.205526
124,SDSSp J125453.90-012247.4 [de],38,0.0044865636,0.10070773999999999
125,Kelu-1A,61,0.0060139044,0.10070773999999999
126,Kelu-1B,61,0.0055366104,0.10070773999999999
127,2MASS J13204427+0409045,101,0.0063957395999999994,0.10379063
128,SDSSp J132629.82-003831.5 [de],65,0.0048683988,0.09968010999999999
129,SDSSp J134646.45-003150.4 [de],48,0.004200187199999999,0.09659721999999998
130,2MASS J13595510-4034582,51,0.0060139044,0.102763
131,ULAS J141623.94+134836.3,29.7,0.0030546816,0.09865247999999999
132,SDSS J141659.78+500626.4 [de],149,0.0056320692,0.10173536999999999
133,DENIS-P J142527.97-365023.4 [de],38,0.0020046347999999998,0.13564716
134,LHS 2924,38.5,0.0072548688,0.10892878
135,2MASS J14392837+1929150,47,0.0068730336,0.10584589
136,LSPM J1440+1339,72,0.0087822096,0.12228796999999998
137,2MASS J14482563+1031590 [de],47,0.0056320692,0.10173536999999999
138,CFBDSIR 1458+10A,104,0.00105959268,0.1541445
139,CFBDSIR 1458+10B,104,0.0008591292,0.13359189999999999
140,TVLM 513-46546,35.1,0.00715941,0.10790115
141,2MASS 1503+2525,20.7,0.004200187199999999,0.09659721999999998
142,CFBDS J150411+102717,71,0.004200187199999999,0.09659721999999998
143,2MASSW J1506544+132106 [de],46,0.006586657199999999,0.10481826
144,2MASS 1507−1627,23.9,0.005727528,0.10173536999999999
145,TVLM 868-110639,53,0.0075412451999999994,0.11098404
147,2MASSW J1515008+484742 [de],34,0.005441151599999999,0.10173536999999999
148,2MASSI J1526140+204341 [de],67,0.0051547751999999995,0.10070773999999999
149,DENIS-P J153941.96-052042.4 [de],51,0.0060139044,0.102763
150,2MASS J15462718-3325111 [de],37,0.004200187199999999,0.09659721999999998
151,2MASSW J1552591+294849 [de],68,0.002863764,0.14695108999999998
152,2MASSW J1555157-095605 [de],44,0.0067775748,0.10584589
153,2MASS J16150413+1340079 [de],48,0.0040092695999999995,0.09659721999999998
154,SDSSp J162414.37+002915.6 [de],36,0.0041047283999999995,0.09659721999999998
155,2MASS J16262034+3925190 [de],110,0.0067775748,0.10584589
156,2MASSW J1632291+190441 [de],50,49,0.97
157,WISEPA J164715.59+563208.2,28,41,0.94
158,LSPM J1658+7027 [de],60,73,1.04
159,2MASSI J1726000+153819,114,24,1.40
161,SDSSp J175032.96+175903.9,90,47,0.97
162,2MASS J18283572-4849046,39,45,0.95
163,LSR J1835+3259,18.5,77,1.07
164,2MASSW J1841086+311727,138,67,1.01
165,2MASS J18432213+4040209,46,96,1.22
166,2MASS J20004841-7523070,105,25,1.88
167,SDSS J204749.61-071818.3,65,46,0.96
168,2MASSI J2057540-025230,47,70,1.02
170,2MASSI J2104149-103736,62,69,1.02
